Abatement cost	nhiễm)
Short run total cost (STC)	Tổng phí ngắn hạn.
Short run variable costs (SVC)	Biến phí ngắn hạn.
Short run adjustments	Những điều chỉnh giá ngắn hạn.
Long run adjustments	Những điều chỉnh giá dài hạn.
schedule	Biểu cung gộp ngắn hạn.
Short-time working	Làm việc ít giờ.
SIC	Phân loại nghành chuẩn.
Side payments	Các khoản trả thêm.
Sight deposits	Tiền gửi vô kỳ hạn.
Simon, Herbert A.	(1916-)
Simplex alglorithm	Thuật toán đơn hình.
Simulation	Sự mô phỏng.
Simultaneous equation bias	thời.
Simultaneous equations	Các phương trình đồng thời.
Single European Atc (SEA)	Đạo luật châu Âu.
Shut down price	trường chứng khoán).
Signaling and screening	Phát tín hiệu và sàng lọc.
Significance of coefficients	Mức độ có thống kê của hệ số.
Singular matrix	Ma trận đơn.
Single market	Thị trường đơn nhất.
Single-peaked preferences	muốn lựa chọn có chung.
Sinking fund	Quỹ dự phòng hoàn trả.
Sismondi, Jean	(1773-1842)
Situation utility possibility frontier	dụng tình thế.
Size distribution of firms	Phân phối theo quy mô về hãng.
Skewed distribution	Phân phối lệch.
Skill differentials	động.
Slack plans	trì trệ.
Slump	hoảng kinh tế.
Slutsky, Eugen	(1880-1948).
Slutsky equation	Phương trình Slutsky.
Smith, Adam	(1723-1790)
Snake	Con rắn.
Snob effect	Hiệu ứng đua đòi.
Social cost of monopoly	Phí tổn xã hội do độc quyền.
Social benefit	Lợi ích xã hội.
Social choice	Sự lựa chọn của xã hội.
Social Contract	Thoả thuận xã hội.
Social cost	Phí tổn xã hội; Chi phí xã hội.
Social decision rule	Nguyên tắc quyết định xã hội.
Social discount rate	Tỷ suất chiết khấu xã hội.
Social economics	Kinh tế học xã hội.
Social Fund	Quỹ xã hội.
Socialism	Chủ nghĩa xã hội.
Socially necessary labour	Lao động cần thiết cho xã hội.
criterion	biên.
Social opportunity cost of capital	Chi phí cơ hội xã hội của vốn.
Social optimum	Tối ưu đối với xã hội.
Social relations of production	Các quan hệ xã hội của sản xuất.
Social returns to education	Lợi tức xã hội của giáo dục.
Social time preference rate	xã hội.
Social welfare	Phúc lợi xã hội.
Social welfare function	Hàm phúc lợi xã hội.
Soft currency	Đồng tiền yếu.
Soft loan	Vốn vay ưu đãi.
Solow, Robert	(1924-)
Sole trader	Người buôn bán cá thể.
Solvent (= creditworthy)	toán nợ.
Spatial economics	Kinh tế học không gian.
Spatial monopoly	quyền vùng.
Spatial price discrimination	Sự phân biệt giá cả theo khu vực.
Spearman's rank correlation	Tương quan về thứ bậc Spearman
Special Areas	Các khu vực đặc biệt.
Special drawing rights (SDRs)	Quyền rút vốn đặc biệt.
Special deposits	Các khoản ký quỹ đặc biệt.
Special Development Areas	Các Khu vực Phát triển Đặc biệt.
Specialization	Chuyên môn hoá.
Specialization, coefficient of	Hệ số chuyên môn hoá.
Specie	Tiền xu.
Specie flow mechanism	Cơ chế chảy vàng.
Specie points	ĐIểm chảy vàng.
Specification error	Sai sót kỹ thuật.
Specifix tax	Thuế đặc thù.
Specifix training	Đào tạo đặc thù.
Spectral analysis	PHân tích quang phổ.
Speculation	Đầu cơ.
Speculative balances	Tiền đầu cơ.
Speculative boom	Sự bùng nổ do đầu cơ.
Speculative bubbles	Các bong bóng do đầu cơ.
Speculative demand for money	Cầu về tiền do đầu cơ.
money	Động cơ đầu cơ tiền.
Speculative unemployment	Thất nghiệp do đầu cơ.
Spillover	Hiệu ứng lan toả.
Spillover hypothesis	Giả thuyết về hiệu ứng lan toả.
Spot market	Thị trường giao ngay.
Spread effects	Hiệu ứng lan tràn.
Spurious regression problem	Bài toán hồi quy giả.
Sraffa, Piero	(1898-1938)
Stability	Sự ổn định.
Stabilization	Sự ổn định hoá.
Stabilization function	Chức năng ổn định hoá.
Stackelberg's duopoly model	Stackelberg.
Stabilization policy	Chính sách ổn định hoá .
Stag	chứng khoán hớt ngọn.
Stages of growth	Các giai đoạn tăng trưởng.
Stagflation	Suy thoái kèm lạm phát.
Stamp duty	Thuế tem .
Standard commodity	Hàng hóa tiêu chuẩn.
Standard deviation	Độ lệch chuẩn.
Standard error	Sai số chuẩn
(SIC)	chuẩn.
Standard of living	Mức sống.
Standard Regions	Các khu vực chuẩn.
Standard weekly hours	Số giờ làm việc chuẩn hàng tuần.
Standard working week	Tuần làm việc chuẩn.
Eastern Europe	Đông Âu.
Static expectations	Các kỳ vọng tĩnh.
Stationarity	Tính chất tĩnh tại.
Stationary point	Điểm tĩnh tại.
Stationary state	Trạng thái tĩnh tại.
Statistic	Thống kê.
Statistical cost analysis	Phân tích chi phí thống kê.
Statistical inference	Sự suy luận thống kê.
Statistical significance	Ý nghĩa thống kê.
Steady-state growth	trưởng đều đặn.
Steady-state models	Các mô hình về tình trạng ổn định.
Stepwise regression	Hồi quy theo bước .
Stereotypes	Các định kiến.
Sterilization	chính sách tiền tệ).
Sterling area	Khu vực đồng sterling .
George, Joseph Stigler	(1911-1991).
Stochastic	Tính ngẫu nhiên thống kê.
Stochastic process	Quá trình ngầu nhiên thống kê.
Stock	vốn, trữ lượng.
Stock appreciation	Sự lên giá hàng tồn kho.
Stockbroker	Nhà môi giới chứng khoán.
Stock diviend	Cổ tức bằng cổ phần.
Stock exchange	Sở giao dịch chứng khoán.
Stock market	Thị trường chứng khoán.
Stock option	Quyền mua/ bán chứng khoán.
Stocks	Dự trữ.
Stolper-Samuelson Theorem	Định lý Stolper-Samuelson.
Stone, Sir Richard	(1913-1991).
"stop-go"	"Hạn chế - thúc đẩy".
Store of value	Tích trữ giá trị.
Strategic voting	Bỏ phiếu chiến lược.
Strike insurance	Bảo hiểm đình công.
Strike measures	Các thước đo về đình công.
Strikes	Các cuộc đình công.
Strongly exogenous	Nặng về ngoại ngoại sinh.
Strongly stationary	Rất tĩnh tại.
Structural form	Dạng cơ cấu.
Structural unemployment	Thất nghiệp cơ cấu.
framework	Mô hình cơ cấu -thực thi -kết quả.
Structure of interest rates	suất.
Structure of taxes	Biểu khung thuế; Cơ cấu thuế.
Subsidy	Trợ cấp.
Subsistence	Mức đủ sống.
Subsistence expenditures	Chi tiêu cho mức đủ sống.
Subsistence wage	Tiền công đủ sống.
Substitute	Hàng thay thế.
Substitution effect	Hiệu ứng thay thế.
Sum of squares	Tổng các bình phương.
Sunk costs	Các chi phí chìm.
Superconsistency	Siêu nhất quán.
Super-environment	Siêu môi trường.
Superior goods	Siêu hàng hoá.
Super-neutrality	Siêu trung lập.
Super-normal profits	Lợi nhuận siêu ngạch.
Supernumerary expenditure	Siêu chi tiêu.
Supplementary benefit	Trợ cấp bổ sung.
Supplementary special deposits	Tiền gửi đặc biệt bổ sung
Supply curve	Đường cung.
Supply of effort	Cung nỗ lực.
Supply of inflation	Cung lạm phát.
Supply of labour	Cung lao động.
Supply-side economics	Kinh tế học trọng cung.
Surplus unit	Đơn vị thặng dư.
Surplus value	Giá trị thặng dư.
Surrogate production function	Hàm sản xuất thay thế.
Survivor technique	Kỹ thuật sống sót.
Sustainable development	Phát triển bền vững.
Swap arrangements	Các thoả thuận hoán đổi.
Paul Sweezy	(1910-)
System estimator	Ước lượng hệ thống.
Taft-Hartley Act	Bộ luật Taft-Hartley.
Take-Home pay	Thu nhập khả chi.
Take-off	Cất cánh .
Takeover	Thu mua.
Takeover and mergers	Sự mua đứt và hợp nhất .
Takeover bid	Trả giá thu mua.
Tangible assets	Tài sản hữu hình.
Tangible wealth	Của cải hữu hình.
Tangency equilibrium	Tiếp điểm cân bằng.
Tap issue	Bán lẻ chứng khoán liên tục.
Targets	Mục tiêu (định lượng).
Tariff	Thuế quan.
Tariff factory	Nhà máy tránh thuế quan.
Tariff Structure	Khung biểu thuế quan.
Tatonnement	Dò dẫm.
Taxable income	Thu nhập chịu thuế.
Taxation	Sự đánh thuế.
Tax base	Cơ sở thuế.
Tax burden	Gánh nặng thuế.
Tax credit	Ghi có thuế.
Tax credit scheme	Cơ chế ghi có thuế.
Tax disincentive	thuế.
Tax expenditure	Chi tiêu (để) tránh thuế.
Tax-push inflation	Lạm phát do thuế đẩy.
Tax shifting	Chuyển đẩy thuế.
Tax yield	Tiền thu thuế.
T-distribution	Phân phối T.
Technical progress	Tiến bộ kỹ thuật.
Technological dualism	Mô hình nhị nguyên về công nghệ.
Technological external effects	Ngoại ứng của công nghệ.
Technological progress	Tiến bộ công nghệ.
Technological unemployment	Thất nghiệp do công nghệ.
Technology, choice of	Sự lựa chọn công nghệ.
Technology matrix	Ma trận côngnghệ.
Technology transfer	Chuyển giao công nghệ.
Technology	Công nghệ.
Technostructure	Cấu trúc công nghệ.
Temporary layoffs	Sa thải tạm thời.
Term loan	Khoản vay kỳ hạn.
Terms of trade	Tỷ giá thương mại.
Term structure of interest rates	Cơ cấu kỳ hạn của lãi xuất.
Test discount rate	Lãi xuất chiết khấu kiểm định.
Test statistic	Thống kê kiểm định.
Threat effect	Tác động đe doạ.
Threat of pay off	Lợi ích đe doạ.
Three stage least squares	đoạn.
Threshold	Ngưỡng.
Threshold analysí	Phân tích ngưỡng.
Threshold effect	Tác động ngưỡng.
Threshold of a good	Ngưỡng của một hàng hoá.
Thunen, Johann Heinrich von	(1783-1850)
Tiebout model	Mô hìn Tiebout.
Tight money	Thắt chặt tiền tệ.
Time, allocation of	Phân bổ thời gian.
Time deposit	Tiền gửi có kỳ hạn.
Time preference	Sở thích theo thời gian.
Time series	Chuỗi số/dữ liệu theo thời gian.
Time varying parameter models	thời gian.
Tinbergen, Jan	(1903-)
Tobin, James	(1918-)
Todaro model	Mô hình Todaro.
Token money	Tiền quy ước.
Tokyo Round	Vòng đàm phán Tokyo.
Total cost	Tổng phí; chi phí tổng.
Total remuneration	Thù lao tổng.
Total Revenue	Doanh thu tổng.
Trade	Thương mại (hay mậu dịch).
Trade bill	Hối phiếu thương mại.
Trade creation	Sự tạo lập thương mại.
Trade credit	Tín dụng thương mại.
Trade cycle	Chu kỳ thương mại.
Trade-off	Sự đánh đổi.
Traditional sectors	Các khu vực truyền thống.
Transactions approach	Phương pháp giao dịch.
Transactions balances	Các số dư giao dịch.
Transactions costs	Các chi phí giao dịch.
Transaction	Giao dịch / thương vụ.
Transactions demand for money	Cầu về tiền giao dịch.
money	Động cơ giữ tiền để giao dịch.
Transactions velocity of circulation	Tốc độ lưu thông giao dịch.
production function	logarit
Transcendental production function	Hàm sản xuất trừu tượng.
Transferable rouble	Rúp chuyển đổi được.
Transfer costs	Chi phí vận chuyển.
Transfer deed	Chước bạ chuyển giao.
Transfer earnings	Thặng dư kinh tế.
Transfer incomes	Thu nhập do chuyển nhượng.
Transfer of technology	Chuyển giao công nghệ.
Transfer payment	Thanh toán chuyển nhượng.
Transfer pricing	Định giá chuyển nhượng.
Transfer problem	Vấn đề chuyển nhượng.
Transformation function	Hàm chuyển đổi.
Transformation problem	Bài toán chuyển đổi.
Transitivity of preferences	Tính bắc cầu của sở thích.
Transitory consumption	Tiêu dùng qúa độ.
Transitory income	Thu nhập quá độ.
Translog production function	rít.
Trans-shipment points	vận chuyển.
Treasury, the	Bộ tài chính Anh.
Treasury US department of	Bộ tài chính Mỹ.
Treasury bill	Tín phiếu bộ tài chính.
Treasury Deposit Receipt (TDR)	Biên nhận tiền gửi Bộ tài chính.
Treasury note	Đồng tiền của bộ tài chính.
Treasury view	Quan điểm của bộ tài chính.
Treaty of Rome	Hiệp ước Rome.
Trend	Xu hướng.
Trend stationary process (TSP)	Quá trình tĩnh tại của xu hướng.
Trigonometric functions	Các hàm lượng giác.
Truncated earnings function	Hàm thu nhập rút gọn.
Trust	Tờ-rớt.
t-statistic	Thống kê t.
Turning point	Điểm ngoặt
Turnover	Doanh thu, kim ngạch.
Turnover tax	Thuế kim ngạch.
Turnpike theorems	Các định lý cổng ngăn.
Twelve-month rule	Quy tắc mười hai tháng.
Two sector growth model	Mô hình tăng trưởng hai khu vực.
hoặc 2 SLS)	đoạn
Tying contract	Hợp đồng bán kèm.
Type I/ type II	Sai số loại I / loại II.
U-form enterprise	Doanh nghiệp dạng chữ U.
Unanimity rule	Quy tắc nhất trí hoàn toàn.
Unianticipated inflation	Lạm phát không được lường trước.
Unbalanced economic growth	đối.
Unbiased estimator	Ước lượng không chệch.
Uncalled capital	Vốn chưa huy động.
Uncertainty	Sự không chắc chắn.
Unconvertible loan stock	được
Unconvered interest parity	Lãi suất ngang bằng chưa tính.
UNCTAD	thương mại và Phát triển.
Undated securities	Chứng khoán không ghi ngày.
Underdeveloped countries	Các nước chậm phát triển.
Underdevelopment	Sự chậm phát triển.
Underemployed workers	Các công nhân phiếm dụng.
Underemployment	Sự phiếm dụng.
Underidentification	Sự chưa đủ để nhận dạng.
Undervalue currency	Đồng tiền định giá thấp.
Underwriter	Người bảo hiểm.
Undistributed profits	Lợi nhuận không chia.
Unearned income	Thu nhập phi tiền lương.
Unemployment	Thất nghiệp.
Unemployment benefit	Trợ cấp thất nghiệp.
Unemployment equilibrium	Cân bằng thất nghiệp.
Unemployment rate	Tỷ lệ thất nghiệp.
Unequal exchange	Sự trao đổi không ngang bằng.
UNIDO guidelines	Các hướng dẫn của UNIDO.
disinvestment	kiến.
Unintended inventory investment	Đầu tư vào tồn kho ngoài dự kiến.
Union density	Tỷ lệ tham gia công đoàn.
Union market power	thị trường.
Union/non-union differential	công đoàn.
Union pushfulness	đoàn.
Union shop	"quầy trói buộc"
Uniqueness	Tính độc nhất.
Unit root tests	Kiểm định đơn vị.
Development Fund	quốc.
(UNCTAD)	Thương mại và Phát triển.
Programme (UNDP)	hợp quốc.
(UNIDO)	của Liên hợp quốc.
Unit of account	Đơn vị kế toán.
Unit tax	Thuế đơn vị.
Unit Trust	Độc quyền đơn vị.
Unlisted Securities Market (USM)	niêm yết.
Unsecured loan stock	Cổ phần vay không bảo lãnh.
Unvalidated inflation	Lạm phát không cho phép.
Urban economics	Kinh tế học đô thị.
Urbanization economies	Tính kinh tế của đô thị hoá.
Uruguay Round	Vòng đàm phán Uruguay.
User cost of capital	Chi phí sử dụng vốn.
Use value and exchange value	Giá trị sử dụng và giá trị trao đổi.
U-shaped cost curves	Các đường chi phí hình chữ U.
Utility	Độ thoả dụng.
Utility function	Hàm thoả dụng.
Utilitarianism	Chủ nghĩa vị lợi.
Vacancies	Chỗ làm việc còn trống.
Vacancy rate	Tỷ lệ chỗ làm việc còn trống.
Validated inflation	Lạm phát cho phép.
Valuation curve	Đường đánh giá.
Valuation ratio	Tỷ số đánh giá.
Value, money, a standard of	Tiêu chuẩn giá trị của tiền.
Value, theory of	Lý thuyết về giá trị.
Value added	Giá trị gia tăng.
Value-added tax	Thuế Giá trị gia tăng.
Value judgement	Đánh giá chủ quan.
Value marginal physical product	Sản phẩm vật chất giá trị biên.
Variable capital	Vốn (tư bản) khả biến.
Variable cost	Các chi phí khả biến.
production function	thay thế.
Variable labour costs	Các chi phí lao động khả biến.
Variable parameter models	Các mô hình thông số khả biến.
Variance	Phương sai
Variance-covariance matrix	sai.
Variation	Biến động.
Veblen, Thorstein B.	(1857-1926)
Veblen effect	Hiệu ứng Veblen.
Vector	Véc-tơ.
Vector autoregression (VAR)	Tự hồi quy véc tơ.
Vehicle currency	Đồng tiền phương tiện.
Veil of ignorance	Mạng che ngu dốt.
Veil of money	Mạng che tiền.
Velocity of circulation	Tốc độ lưu thông.
Venture capital	Vốn mạo hiểm.
Vertical equity	Công bằng theo chiều dọc.
Vertical integration	Liên kết dọc.
Vertical merger	Sáp nhập chiều dọc.
Vertical Phillips curve	Đường Phillips thẳng đứng.
VES production function	thay thế.
Vicious circles	Các vòng luẩn quẩn.
Victim company	Công ty nạn nhân.
Vintage growth models	gian.
Virtuous circles	Vòng thoát.
Visibility hypothesis	Giả thuyết về tính minh bạch.
Visible balance	Cán cân hữu hình.
Voluntary-exchange model	Mô hình trao đổi tự nguyện.
Voluntary export restraint	Hạn chế xuất khẩu tự nguyện.
Voluntary unemployment	Thất nghiệp tự nguyện.
Von Neumann-Morgenstern utility	Morgenstern.
Von Neumann ratio	Tỷ số Von Neumann.
Vote maximizer	Ngừơi muốn tối đa hoá phiếu bầu.
Vote trading	Trao đổi phiếu bầu.
Voting and non-voting shares	và không có quyền bỏ phiếu.
Voucher	Tem phiếu.
Voucher schemes	Các chương trình theo phiếu.
Wage competition model	Mô hình cạnh tranh bằng tiền công
Wage contour	Vòng tiền công.
Wage contracts	Hợp đồng tiền công
Wage differentials	Chênh lệc tiền công
Wage discrimination	Phân biệt đối xử tiền công.
Wage drift	Mức trượt tiền công.
Wage fund	Quỹ lương.
Wage inflation	Lạm phát tiền công.
Wage leadership	khảo.
Wage-price spiral	Vòng xoáy tiền công-giá
Wage-push inflation	Lạm phát do tiền công đẩy.
Wage rates	Các mức tiền công.
Wage restraint	Hạn chế tiền công.
Wage round	Vòng quay tiền công.
Wage boards	Ban điều hành tiền công.
Wages Councils	Các hội đồng tiền công.
Wages freeze	Hạn mức tiền công.
Wages fund doctrine	Học thuyết quỹ lương.
Wages structure	Cấu trúc tiền công
Wage theory	Lý thuyết tiền công.
Wage-wage sprial	Vòng xoáy tiền công-tiền công.
Wagner's law	Định luật Wagner
Wait umemployment	Thất nghiệp do chờ việc.
Wall Street	Phố Wall
Walras, Léon	(1834-1910)
Walras' law	Định luật Walras.
Want creation	Tạo ra mong muốn tiêu dùng.
Warrant	Sự đảm bảo.
Warranted rate of growth	Tốc độ tăng trưởng đảm bảo.
Warranted unemployment rate	Tỷ lệ thất nghiệp đảm bảo.
Waste	Chất thải.
Ways and means advandces	Tạm ứng.
Weakly stationary	Không chuyển động hàng tuần.
Weath	Của cải.
Weath effect	Hiệu ứng của cải.
Weath tax	Thuế của cải.
Wear and tear	Khấu hao.
Weberian location theory	Lý thuyết Weber về vị trí .
Weighted average	Bình quân gia quyền.
Weighted least squares	Bình phương gia quyền nhỏ nhất.
Weighted mean	Trung bình gia quyền.
Welfare economics	Kinh tế học phúc lợi.
Welfare function	Hàm phúc lợi.
Welfare state	Nhà nước phúc lợi.
Well-behaved	Có hành vi tốt.
Wharton model	Mô hình Wharton.
Whipsawing	Cưa kéo.
White-collar worker	Công nhân cổ trắng, bàn giấy.
White noise	Nhiễu trắng.
White plan	Kế hoạch White.
Wholesale	Buôn bán, bán sỉ.
Wholesale banking	Dịch vụ ngân hàng bán buôn.
Wicksell, Knut	(1851-1926)
Wicksell effects	Các hiệu ứng của Wicksell.
Wieser, Friederich von	(1851-1926)
Wildcat strike	Bãi công "không chính thức"
Willingness to pay	Mức sẵn sàng trả.
Wilson Committee	Uỷ ban Wilson.
Windfall gain	Thu nhập bất thường.
Windfall loss	Lỗ bất thường.
Winding up	Sự phát mại.
Window dressing	Sự "làm đẹp" báo cáo tài chính.
Withdrawals	Các con số tận rút.
Withholding tax	Thuế chuyển lợi nhuận về nước.
Workable competition	được.
Workers' co-operative	Hợp tác xã của công nhân.
Workers' partipation	Sự tham gia của người lao động.
Working capital	Vốn lưu động.
Working capital ratio	Tỷ số vốn lưu động.
Working population	Lực lượng lao động.
Work in progress	Sản phẩm đang gia công.
Work-leisure model	Mô hình lao động - nghỉ ngơi.
Work sharing	Chia sẻ công việc.
Work to rule	Làm việc theo quy định.
World Bank	Ngân hàng thế giới.
Writing-down allowance	Khấu hao, sự xuống giá.
X-efficiency	Hiệu quả X.
Y-efficiency	Hiệu quả Y.
Yeild	Lợi tức.
Yeild gap	Chênh lệch lợi tức.
Yeild gap on securities	Chênh lệch lợi tức chứng khoán.
Zellner-Giesel	Quy ước Zellner-Giesel.
Zero-rate goods	0.
Z variable	Biến số Z.
Organization slack	Sự lỏng lẻo về tổ chức.
Perfect information	Thông tin hoàn hảo.
Personal income Hypothesis	Giả thuyết về thu nhập lâu dài.
Personal income distribution	Phân phối thu nhập cho cá nhân.
Substitution effect of wages	tiền công.
Time series data	Dãy số liệu theo thời gian.
Accounting price	Giá kế toán.
Accumulated depreciation	Khấu hao tích luỹ.
Scenario analysis	Phân tích tình huống.
Sensitivity analysis	Phân tích độ nhạy.
Appraisal	Thẩm định.
Appreciation (currency)	Tăng giá.
Appreciation and depreciation	Tăng giá và giảm giá trị.
Arbitrage	giá.
Balanced (GDP)	(GDP) được cân đối.
Balanced equilibrium (GDP)	(GDP) cân bằng.
Beta	chứng khoán.
Black market premium	trường chợ đen.
Blue-chip stock	Cổ phiếu sáng giá.
Gild-edged bonds	Trái phiếu chính phủ có giá trị cao.
Border price	Giá cửa khẩu.
Multi-collinearity	Đa cộng tuyến.
Combination	Tổ hợp.
Compensating differentials	Các mức bù thêm lương.
Constant returns to scale	Sinh lợi cố định theo quy mô.
Constrain informal/ formal	theo quy định).
Consumer sovereignty	Chủ quyền người tiêu dùng.
Consumer surplus	Thặng dư người tiêu dùng.
Consumption	Tiêu dùng.
Consumption function	Hàm Tiêu dùng.
Contestable market	Thị trường có thể cạnh tranh được.
Conversion factor	Hệ số chuyển đổi.
Cornor solution	Giải pháp khó xử.
Criminalization	Quy là tội phạm.
Cross price elasticity of demand	Độ co giãn theo giá chéo của cầu.
Cross-section data	Số liệu chéo/ mẫu/ đặc trưng.
Crowding-out effect	Tác động lấn ép, chèn ép.
Dead weight loss	Sự/ mức mất mát vô ích.
Dead weight tax burden	Gánh nặng vô ích của thuế khoá.
Debt rescheduling	Hoãn nợ/ gia hạn nợ.
Decile	Thành mười nhóm bằng nhau.
Differentiated goods	trưng riêng.
Dirigiste	Chính phủ can thiệp.
Distortions and market failure	trường.
Distribution	Phân phối.
Continuous distribution	Phân phối liên tục.
Deterministic distribution	Phân phối tất định.
Equilibrium aggregate output	Tổng sản lượng cân bằng.
Equilizing wage diffirentials	công.
Equity	Vốn cổ phần.
Evolving market condition	Sự tiến triển của tình hình kinh tế.
Exogenuos expectations	Những dư tính ngoại sinh.
Expected inflation	Lạm phát dự tính được.
Unexpected inflation	Lạm phát bất thường..
Fiat (or token) money	Tiền pháp định.
Final goods	Hàng hoá cuối cùng.
Finance deepening	hệ thống tài chính.
Fine turning	Tinh chỉnh.
Intermediate goods	Hàng hoá trung gian.
F-test	Kiểm định Fisher.
Automatic fiscal policy	động.
Discretionary fiscal policy	động.
Expasionary fiscal policy	rộng.
Contractionary fiscal policy	hẹp.
Flow variable	Biến số mang tính dòng chảy.
Future value	Giá trị tương lai.
Sharp gyration	Chu kỳ vòng xoay rõ rệt.
Maturity	Đến hạn thanh toán.
Non performings assets	Những tài sản không sinh lợi.
Non performings loans	đúng hợp đồng.
Non trade	Phi ngoại thương
Offer price	Giá chào.
Opportunity cost of capital	Chi phí cơ hội của vốn
Open economy economics	mở.
Other thíng equal	Các điều kiện khác không đổi.
Perceived Wealth	Của cải dự tính được.
Percentage change	Chênh lệch tính bằng phần trăm.
Perfect capital mobility	của vốn.
Performance	Thành quả.
Physical and financial capital	Vốn hiện vật và vốn tài chính.
Positive bais	Thiên lệch đồng biến.
Pre-commitment	Cam kết trước.
Conditional probality	Xác suất có điều kiện.
Cumulative probality	Xác suất tích luỹ.
Pure inflation	Lạm phát thuần tuý.
Quadrant	Góc toạ độ/ góc phần tư.
Quasiliquid asset	Tài sản bán thanh toán.
Quick-disbursing fundss	Tiền ký phát nhanh.
Quintile	Thành năm phần bằng nhau.
Ramdom events	Các biến cố ngẫu nhiên.
Range of values	Miền giá trị.
Rate of return on investment	Suất sinh lợi từ đầu tư.
Interna Rate of return	vốn nội bộ.
Rateable value	Giá trị có thể đánh thuế.
Real / relative price	Các giá thực tế/ tương đối.
Real balance effect	hiệu ứng tiền thực.
Real interest rate.	Mức lãi suất thực tế.
Real prices and real income	Giá thực tế và thu nhập thực tế
Receipt	Số thu.
Recessionary gap	Hố, khoảng trống suy thoái.
Secular stagnation	Sự đình trệ về lâu dài.
Self-financing	Tự tài trợ.
Shareholder	Cổ đông.
Shoe-leather cost of inflation	Chi phí giày da của lạm phát.
Standard paradigm	chuẩn.
Strategic entry barrier	ngành.
Strategic entry deterrence	chiến lược.
Strategy	Chiến lược.
Structural adjustment loans	cấu kinh tế.
Subsistence agriculture	Nông nghiệp tự cung cấp tư liệu.
Subsistence crop	Vụ mùa tự tiêu.
Subsistence wage	Lương vừa đủ sống.
Substitutes and complemént	Hàng thay thế và hàng bổ trợ.
Sunk cost fallacy	Sự hiểu lầm về chi phí chìm.
Sunrise and sunset industries	ngành sắp lặn (hết thời).
Supernormal profits	ngạch.
Supplementary benefit	Trợ cấp bổ sung.
Supply-side economics	Kinh tế học trọng cung.
Symmetric	Đối xứng
Non-symmetric	Phii / bất đối xứng
Syndicate loan	Cho vay liên hiệp.
Taste	Sở thích, thị hiếu.
Tax incident	Ai phải chịu thuế.
Tax wedge	Chênh lệch giá do thuế.
Tax-base incomes Policy	thuế.
Technical change through R&D	Thay đổi công nghệ qua R&D.
Technical efficiency	Tính hiệu dụng về mặt kỹ thuật.
Technical knowlwdge	Tri thức, kiến thức, kỹ thuật
Testing an economic model	Kiểm nghiệm một mô hình thực tế.
The Corset	Kế hoạch Corset.
Tradable	Khả thương.
Trade balance	Cán cân thương mại.
Traded and non-traded (goods)	thương.
Trade unions	Công đoàn.
Transaction motives	Những động cơ giao dịch.
Precaution motives	Những động cơ dự phòng.
Assets motives	Những động cơ tài sản.
Transfer in kind	Trợ cấp bằng hiện vật.
Transmission mechanism	Cơ chế lan chuyền.
Trend output path	Đường biểu thị xu thế sản lượng.
Treasury	Bộ tài chính, ngân khố.
Tow-path tariffs	(hệ thống) giá hai phần.
Unvoluntary unemployment	Tỷ lệ, sự thất nghiệp bắt buộc.
Utility maximization	Tối đa hoá độ thoả dụng.
Variable	Biến số.
Variability	Độ biến thiên.
Dummy Variable	Biến số giả.
Stochastic Variable	Biến số ngẫu nhiên.
Variable factor	Các yếu tố sản xuất thay đổi.
Viability	Khả năng thành tựu, tính khả thi.
Velocity of money	chuyển của tiền.
Volatility	Tính dễ biến động.
Wage and price flexibility	Tính linh hoạt của giá cả và lương.
Wage-rental ratio	Tỷ số tiền công- tiền thuê vốn.
Yield on external debt	Lãi trên nợ nước ngoài.
Yield on investment	Lợi nhuận từ đầu tư.
Z-score	Giá trị của Z.
Zero growth proposal	Đề xuất tăng trưởng bằng không.
